"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","dataset","metric_label"
"batch_weighted_pc_r2_categorical",0.000194747919441527,"lower",710,"weighted R-squared","Batch is explicitly categorical.","batchcorr_set1","qc_rlsc","QC-RLSC","BatchCorr Set 1","Batch weighted-PC R²"
"heldout_qc_cv_mean",31.3032730527201,"lower",199,"percent","","batchcorr_set1","qc_rlsc","QC-RLSC","BatchCorr Set 1","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.105527638190955,"lower",1990,"proportion","","batchcorr_set1","qc_rlsc","QC-RLSC","BatchCorr Set 1","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.0903091334483645,"lower",1990,"proportion","","batchcorr_set1","qc_rlsc","QC-RLSC","BatchCorr Set 1","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.325051677252748,"lower",710,"weighted R-squared","Batch is explicitly categorical.","batchcorr_set1","qc_rfsc","QC-RFSC","BatchCorr Set 1","Batch weighted-PC R²"
"heldout_qc_cv_mean",53.2325962192054,"lower",199,"percent","","batchcorr_set1","qc_rfsc","QC-RFSC","BatchCorr Set 1","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.169346733668342,"lower",1990,"proportion","","batchcorr_set1","qc_rfsc","QC-RFSC","BatchCorr Set 1","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.120635344473367,"lower",1990,"proportion","","batchcorr_set1","qc_rfsc","QC-RFSC","BatchCorr Set 1","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.0526939397083855,"lower",710,"weighted R-squared","Batch is explicitly categorical.","batchcorr_set1","tiger","TIGER","BatchCorr Set 1","Batch weighted-PC R²"
"heldout_qc_cv_mean",23.4835903519785,"lower",199,"percent","","batchcorr_set1","tiger","TIGER","BatchCorr Set 1","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.085427135678392,"lower",1990,"proportion","","batchcorr_set1","tiger","TIGER","BatchCorr Set 1","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.0827030523247444,"lower",1990,"proportion","","batchcorr_set1","tiger","TIGER","BatchCorr Set 1","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.00435624904876198,"lower",710,"weighted R-squared","Batch is explicitly categorical.","batchcorr_set1","serrf","SERRF","BatchCorr Set 1","Batch weighted-PC R²"
"heldout_qc_cv_mean",30.2796087138303,"lower",199,"percent","","batchcorr_set1","serrf","SERRF","BatchCorr Set 1","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.175376884422111,"lower",1990,"proportion","","batchcorr_set1","serrf","SERRF","BatchCorr Set 1","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.122438628681521,"lower",1990,"proportion","","batchcorr_set1","serrf","SERRF","BatchCorr Set 1","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.000566990241618206,"lower",710,"weighted R-squared","Batch is explicitly categorical.","batchcorr_set1","winn_auto_qc","WiNN auto (QC)","BatchCorr Set 1","Batch weighted-PC R²"
"heldout_qc_cv_mean",23.9030303379891,"lower",199,"percent","","batchcorr_set1","winn_auto_qc","WiNN auto (QC)","BatchCorr Set 1","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.00603015075376884,"lower",1990,"proportion","","batchcorr_set1","winn_auto_qc","WiNN auto (QC)","BatchCorr Set 1","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.0464906510990335,"lower",1990,"proportion","","batchcorr_set1","winn_auto_qc","WiNN auto (QC)","BatchCorr Set 1","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.0125324272970689,"lower",710,"weighted R-squared","Batch is explicitly categorical.","batchcorr_set1","winn_auto_batch_qc","WiNN auto-batch (QC)","BatchCorr Set 1","Batch weighted-PC R²"
"heldout_qc_cv_mean",24.8748188818013,"lower",199,"percent","","batchcorr_set1","winn_auto_batch_qc","WiNN auto-batch (QC)","BatchCorr Set 1","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.0170854271356784,"lower",1990,"proportion","","batchcorr_set1","winn_auto_batch_qc","WiNN auto-batch (QC)","BatchCorr Set 1","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.0465432932186145,"lower",1990,"proportion","","batchcorr_set1","winn_auto_batch_qc","WiNN auto-batch (QC)","BatchCorr Set 1","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.000567147968917397,"lower",710,"weighted R-squared","Batch is explicitly categorical.","batchcorr_set1","winn_fixed_no_qc","WiNN fixed default (no QC)","BatchCorr Set 1","Batch weighted-PC R²"
"heldout_qc_cv_mean",26.6652760811313,"lower",199,"percent","","batchcorr_set1","winn_fixed_no_qc","WiNN fixed default (no QC)","BatchCorr Set 1","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.0085427135678392,"lower",1990,"proportion","","batchcorr_set1","winn_fixed_no_qc","WiNN fixed default (no QC)","BatchCorr Set 1","Ljung-Box positive"
