"scenario_id","seed_id","method","metric","value","metric_direction","units","status","confounding_type","level"
"CONF03_none_0p00","CONF03","Raw","effect_rmse_vs_clean_responsive",0.00724773374136024,"lower","log1p_effect_or_ratio","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","recovered_vs_injected_slope",0.502290885618144,"descriptive","log1p_effect_or_ratio","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","recovered_vs_injected_intercept",0.000723898146117348,"descriptive","log1p_effect_or_ratio","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","median_attenuation_ratio_injected_responsive",0.500677082753601,"higher","log1p_effect_or_ratio","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","median_attenuation_ratio_clean_responsive",1.00032157127352,"higher","log1p_effect_or_ratio","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","sign_concordance_responsive",1,"higher","correlation_or_proportion","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","n_discoveries_bh_0p05",104,"descriptive","count","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","true_positive_rate",1,"higher","proportion","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","empirical_fdr",0.0384615384615385,"lower","proportion","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","null_feature_false_positive_rate",0.00444444444444444,"lower","proportion","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","clean_log1p_rmse_study",0.277877460946567,"lower","log1p_effect_or_ratio","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","clean_sample_profile_pearson_mean",0.543943407277066,"higher","correlation_or_proportion","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","clean_sample_profile_pearson_median",0.544632905815117,"higher","correlation_or_proportion","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","clean_feature_profile_pearson_mean",0.672893789562515,"higher","correlation_or_proportion","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","clean_feature_profile_pearson_median",0.655279115143808,"higher","correlation_or_proportion","calculated","none",0
