"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","split_id","dataset"
"residual_ljung_box_proportion_significant",0.1828,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","SPLIT02","Simulation"
"batch_weighted_pc_r2_categorical",0.150792067772359,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","qc_rfsc","QC-RFSC","SPLIT02","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","qc_rfsc","QC-RFSC","SPLIT02","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","qc_rfsc","QC-RFSC","SPLIT02","Simulation"
"runtime_sec",34.827,"lower",1,"seconds","","simulation","qc_rfsc","QC-RFSC","SPLIT02","Simulation"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","qc_rfsc","QC-RFSC","SPLIT02","Simulation"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","qc_rfsc","QC-RFSC","SPLIT02","Simulation"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","qc_rfsc","QC-RFSC","SPLIT02","Simulation"
"truth_metabolite_profile_icc_mean",0.703513250336283,"higher",1000,"ICC(A,1)","","simulation","qc_rfsc","QC-RFSC","SPLIT02","Simulation"
"truth_sample_profile_pearson_mean",0.670199751766883,"higher",450,"correlation","","simulation","qc_rfsc","QC-RFSC","SPLIT02","Simulation"
"truth_log1p_rmse",0.19882226514294,"lower",450000,"log1p intensity","","simulation","qc_rfsc","QC-RFSC","SPLIT02","Simulation"
"heldout_qc_cv_mean",9.03852305598057,"lower",1000,"percent","","simulation","tiger","TIGER","SPLIT02","Simulation"
"heldout_qc_cv_sd",9.46967928298894,"lower",1000,"percent","","simulation","tiger","TIGER","SPLIT02","Simulation"
"heldout_qc_cv_median",7.45923198268232,"lower",1000,"percent","","simulation","tiger","TIGER","SPLIT02","Simulation"
"residual_run_order_gam_mean_deviance",0.0841495778733641,"lower",5000,"proportion","","simulation","tiger","TIGER","SPLIT02","Simulation"
"residual_run_order_gam_sd_deviance",0.128034080019073,"lower",5000,"proportion","","simulation","tiger","TIGER","SPLIT02","Simulation"
"residual_ljung_box_proportion_significant",0.1764,"lower",5000,"proportion","","simulation","tiger","TIGER","SPLIT02","Simulation"
